Player,Pos,Age,Tm,FG,FGA,3P,3PA,2P,2PA,FT,FTA
Precious Achiuwa,PF,24,NYK,2.3,4.8,0,0.3,2.3,4.4,0.6,1.4
Bam Adebayo,C,26,MIA,9.6,19.4,0.4,2,9.2,17.4,3,4.2
Nickeil Alexander-Walker,SG,25,MIN,2.6,7,1.5,5.1,1.1,1.9,0.6,0.6
Grayson Allen,SG,28,PHO,0.5,2.5,0.5,2.5,0,0,2,2
Jarrett Allen,C,25,CLE,6.3,9.3,0,0,6.3,9.3,4.5,6.5
Jose Alvarado,PG,25,NOP,0.8,5,0.3,3.5,0.5,1.5,0,0
Kyle Anderson,PF,30,MIN,1.7,3.8,0.1,0.5,1.6,3.3,0.7,0.8
Thanasis Antetokounmpo,PF,31,MIL,0,0,0,0,0,0,0,0
Cole Anthony,PG,23,ORL,1.9,5.9,0.3,1.9,1.6,4,1.1,1.3
OG Anunoby,SF,26,NYK,6.2,12.3,1.8,4.3,4.4,8,0.9,1.4
Paolo Banchero,PF,21,ORL,9.7,21.3,2.3,5.7,7.4,15.6,5.3,7
Nicolas Batum,PF,35,PHI,2,4.8,1.5,3.7,0.5,1.2,0.8,1.3
Bradley Beal,SG,30,PHO,6.5,14.8,2.5,5.8,4,9,1,1.3
Malik Beasley,SG,27,MIL,3.5,6.8,1.8,4.2,1.7,2.7,0,0
MarJon Beauchamp,SF,23,MIL,0.3,1,0,0.5,0.3,0.5,0.3,0.5
Patrick Beverley,PG,35,MIL,2.7,6.5,0.7,1.8,2,4.7,2.2,2.5
Goga Bitadze,C,24,ORL,0,1,0,0,0,1,0,0
Anthony Black,PG,20,ORL,1.5,3.5,0,1,1.5,2.5,0,0
Bojan Bogdanovi?,SF,34,NYK,1.8,6,1.5,3.8,0.3,2.3,1,1.8
Bol Bol,PF,24,PHO,0.3,1,0,0,0.3,1,0,0
Devin Booker,PG,27,PHO,8,16.3,1.8,5,6.3,11.3,9.8,10.3
Brandon Boston Jr.,SF,22,LAC,0.7,1.3,0,0,0.7,1.3,0.3,0.7
Christian Braun,SG,22,DEN,1.9,4.5,0.3,1.5,1.6,3,0.9,1.3
Oshae Brissett,SF,25,BOS,0.6,1.1,0.2,0.2,0.4,0.9,0.2,0.4
Jaylen Brown,SF,27,BOS,9.2,17.8,1.9,5.8,7.3,12.1,3.6,5.4
Kendall Brown,SG,20,IND,0.3,0.9,0,0,0.3,0.9,0,0
Kobe Brown,PF,24,LAC,0,0,0,0,0,0,0,0
Jalen Brunson,PG,27,NYK,11.6,26.2,2,6.5,9.6,19.7,7.2,9.2
Thomas Bryant,C,26,MIA,2.5,3.5,0,1,2.5,2.5,1,1.5
Alec Burks,SG,32,NYK,4.2,8.3,2,4.7,2.2,3.7,4.5,5.3
Kentavious Caldwell-Pope,SG,30,DEN,2.8,7.2,1.5,4.6,1.3,2.6,0.9,0.9
Wendell Carter Jr.,C,24,ORL,2.7,6.7,1,3.6,1.7,3.1,1.1,1.6
Amir Coffey,SF,26,LAC,1.2,3.7,0.5,1.8,0.7,1.8,0,0
Mike Conley,PG,36,MIN,4.1,9.7,2,5.1,2.1,4.6,1.3,1.9
Pat Connaughton,SF,31,MIL,1.8,4.2,0.5,1.8,1.3,2.3,0.3,0.3
Jae Crowder,PF,33,MIL,0.8,3,0.3,1.8,0.5,1.3,0.5,0.5
Dyson Daniels,PG,20,NOP,0.7,2,0,0.7,0.7,1.3,0,0
Anthony Davis,C,30,LAL,11.8,18.6,0,1,11.8,17.6,4.2,5.2
Mamadi Diakite,PF,27,NYK,0,0.8,0,0.5,0,0.3,0.5,0.5
Ousmane Dieng,PF,20,OKC,0.3,0.5,0,0.3,0.3,0.3,0,0
Spencer Dinwiddie,PG,30,LAL,1,2.8,0.4,1.6,0.6,1.2,0.6,1.2
Donte DiVincenzo,SG,27,NYK,6.2,14.7,3.5,8.2,2.7,6.5,2,2.3
Luka Don?i?,PG,24,DAL,10.2,22.9,3.1,9.6,7.1,13.3,5.3,7
Luguentz Dort,SF,24,OKC,3.3,9.1,2.5,6.4,0.8,2.7,1.6,1.9
Kevin Durant,PF,35,PHO,9.3,16.8,1.3,3,8,13.8,7,8.5
Anthony Edwards,SG,22,MIN,9.8,20.3,2.9,7.2,6.9,13.1,5.2,6.4
Joel Embiid,C,29,PHI,9.8,22.2,2.2,6.5,7.7,15.7,11.2,13
Drew Eubanks,C,26,PHO,2.3,4,0,0,2.3,4,1,1
Dante Exum,PG,28,DAL,0.8,2.1,0.3,1,0.4,1.1,0.2,0.3
Markelle Fultz,PG,25,ORL,2.9,4.9,0,0.1,2.9,4.7,0.7,1.3
Daniel Gafford,PF,25,DAL,3.5,5.6,0,0,3.5,5.6,1.9,3
Danilo Gallinari,SF,35,MIL,1.3,2.7,0,0.7,1.3,2,1,1.3
Darius Garland,PG,24,CLE,6.1,14.3,2.1,5.9,4,8.3,1.4,1.8
Luka Garza,C,25,MIN,1.4,1.7,0.3,0.4,1.1,1.3,1,1.1
Paul George,PF,33,LAC,6.5,15.8,3,8.2,3.5,7.7,3.5,4.2
Josh Giddey,SG,21,OKC,3.4,7.5,1.2,3.4,2.2,4.1,0.7,0.8
Shai Gilgeous-Alexander,PG,25,OKC,11.1,22.4,1.6,3.7,9.5,18.7,6.4,8.1
Rudy Gobert,C,31,MIN,4.3,6.9,0,0,4.3,6.9,3.5,5.3
Aaron Gordon,PF,28,DEN,5.8,9.8,0.9,2.3,4.8,7.6,1.9,2.3
Eric Gordon,SG,35,PHO,2.3,7,1.8,4.3,0.5,2.8,1.8,2
A.J. Green,SG,24,MIL,1,2.7,0.3,1.8,0.7,0.8,0.5,0.5
Josh Green,SG,23,DAL,1.6,3.9,1,2.7,0.6,1.2,0.6,0.9
Rui Hachimura,PF,25,LAL,3,7.6,1,2.8,2,4.8,0.8,1.6
Tyrese Haliburton,PG,23,IND,7,14.3,3.5,9.3,3.5,5,1.1,1.3
Tim Hardaway Jr.,SF,31,DAL,1.6,4.1,0.9,2.6,0.6,1.5,0.3,0.6
James Harden,PG,34,LAC,6.7,14.8,3,7.8,3.7,7,4.8,5.3
Jaden Hardy,SG,21,DAL,1.5,3.6,0.6,1.4,0.9,2.2,0.6,0.8
Gary Harris,SG,29,ORL,1.3,4.7,1.2,3.7,0.2,1,0.3,0.3
Tobias Harris,PF,31,PHI,3.7,8.5,1,3,2.7,5.5,0.7,0.7
Josh Hart,SF,28,NYK,5.1,11.5,1.7,4.5,3.4,7,2.7,3.7
Isaiah Hartenstein,C,25,NYK,3.5,5.8,0.1,0.2,3.4,5.7,1.5,1.7
