Player,Pos,Age,Tm,FG_PCT,3P_PCT,2P_PCT,eFG_PCT,FT_PCT
Precious Achiuwa,PF,24,NYK,0.488,0,0.525,0.488,0.385
Bam Adebayo,C,26,MIA,0.495,0.2,0.529,0.505,0.714
Nickeil Alexander-Walker,SG,25,MIN,0.366,0.296,0.548,0.473,1
Grayson Allen,SG,28,PHO,0.2,0.2,0,0.3,1
Jarrett Allen,C,25,CLE,0.676,0,0.676,0.676,0.692
Jose Alvarado,PG,25,NOP,0.15,0.071,0.333,0.175,0
Kyle Anderson,PF,30,MIN,0.456,0.25,0.49,0.474,0.833
Thanasis Antetokounmpo,PF,31,MIL,0,0,0,0,0
Cole Anthony,PG,23,ORL,0.317,0.154,0.393,0.341,0.889
OG Anunoby,SF,26,NYK,0.505,0.41,0.556,0.577,0.615
Paolo Banchero,PF,21,ORL,0.456,0.4,0.477,0.51,0.755
Nicolas Batum,PF,35,PHI,0.414,0.409,0.429,0.569,0.625
Bradley Beal,SG,30,PHO,0.441,0.435,0.444,0.525,0.8
Malik Beasley,SG,27,MIL,0.512,0.44,0.625,0.646,0
MarJon Beauchamp,SF,23,MIL,0.25,0,0.5,0.25,0.5
Patrick Beverley,PG,35,MIL,0.41,0.364,0.429,0.462,0.867
Goga Bitadze,C,24,ORL,0,0,0,0,0
Anthony Black,PG,20,ORL,0.429,0,0.6,0.429,0
Bojan Bogdanovi?,SF,34,NYK,0.292,0.4,0.111,0.417,0.571
Bol Bol,PF,24,PHO,0.333,0,0.333,0.333,0
Devin Booker,PG,27,PHO,0.492,0.35,0.556,0.546,0.951
Brandon Boston Jr.,SF,22,LAC,0.5,0,0.5,0.5,0.5
Christian Braun,SG,22,DEN,0.426,0.222,0.528,0.463,0.688
Oshae Brissett,SF,25,BOS,0.545,1,0.444,0.636,0.5
Jaylen Brown,SF,27,BOS,0.516,0.327,0.607,0.569,0.66
Kendall Brown,SG,20,IND,0.333,0,0.333,0.333,0
Kobe Brown,PF,24,LAC,0,0,0,0,0
Jalen Brunson,PG,27,NYK,0.444,0.31,0.488,0.482,0.775
