Player,Pos,Age,Tm,G,GS,MP,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,24,NYK,9,2,20.4,1.8,4.2,0.6,0.4,1.3,0.4,2.2,5.2
Bam Adebayo,C,26,MIA,5,5,38.4,7.2,9.4,3.8,0.4,0,1.6,3,22.6
Nickeil Alexander-Walker,SG,25,MIN,16,1,23.6,1.4,1.8,2.3,0.6,0.4,0.9,1.5,7.3
Grayson Allen,SG,28,PHO,2,2,21.5,3,4,1,0.5,0,1.5,2,3.5
Jarrett Allen,C,25,CLE,4,4,31.8,10,13.8,1.3,1.3,1,1.3,2,17
Jose Alvarado,PG,25,NOP,4,0,15.5,1,1,2.3,1.3,0.3,1,0.8,1.8
Kyle Anderson,PF,30,MIN,15,1,15.4,1.5,2.7,2.5,0.7,0.3,0.7,1.7,4.3
Thanasis Antetokounmpo,PF,31,MIL,2,0,2.5,0,0,0,0.5,0.5,0,0.5,0
Cole Anthony,PG,23,ORL,7,0,14.7,1.9,2.1,1.3,0.6,0.1,0.7,2.3,5.1
OG Anunoby,SF,26,NYK,9,9,36,5.2,6,1.1,0.9,1,1.1,1.7,15.1
Paolo Banchero,PF,21,ORL,7,7,37.4,6.6,8.6,4,1.1,0.6,4.6,2,27
Nicolas Batum,PF,35,PHI,6,0,28.3,4.3,5.8,1.3,0.2,0.8,0.8,2.2,6.3
Bradley Beal,SG,30,PHO,4,4,38.5,1.3,2.8,4.5,0.8,0.3,3.3,3.8,16.5
Malik Beasley,SG,27,MIL,6,2,21.8,2.3,2.5,0.7,0.7,0,0.5,1.5,8.8
MarJon Beauchamp,SF,23,MIL,4,0,2.5,0.3,0.3,0.5,0,0,0.3,0.3,0.8
Patrick Beverley,PG,35,MIL,6,6,35,2.7,3.3,5.5,1,0.7,1,2.7,8.2
Goga Bitadze,C,24,ORL,2,0,5,1,1.5,1,0,0,0.5,0,0
Anthony Black,PG,20,ORL,2,0,5.5,0.5,1,1,0.5,0,0.5,0.5,3
Bojan Bogdanovi?,SF,34,NYK,4,0,12.8,2.8,3,1,0,0.3,0.3,0.8,6
Bol Bol,PF,24,PHO,3,0,4.3,1.3,1.3,0,0.3,0,0,0.7,0.7
Devin Booker,PG,27,PHO,4,4,41.5,3,3.3,6,1.8,0.3,2.8,4.5,27.5
